timestamps,TP9,AF7,AF8,TP10,Right AUX
1678793441.445,1.465,114.746,111.816,11.230,62.500
1678793441.449,9.277,103.516,94.238,90.332,72.266
1678793441.453,38.574,102.539,95.703,74.219,47.363
1678793441.457,39.062,110.352,104.004,-44.922,-16.602
1678793441.461,32.715,120.605,119.141,-85.938,-46.875
1678793441.465,15.137,106.934,112.793,-11.230,20.996
1678793441.469,3.906,83.496,85.449,62.012,63.965
1678793441.473,38.086,81.543,84.473,76.660,22.461
1678793441.477,55.176,90.820,99.121,-16.602,1.465
1678793441.481,32.227,104.492,105.469,-99.121,-4.395
1678793441.484,-6.836,101.562,99.121,-31.738,-18.555
1678793441.488,-16.602,87.402,91.797,93.262,20.020
1678793441.492,20.020,80.078,91.309,113.770,17.578
1678793441.496,35.156,83.984,97.168,12.695,-16.602
1678793441.500,15.625,90.820,100.586,-75.684,-30.273
1678793441.504,-8.789,79.590,95.703,-31.250,37.109
1678793441.508,11.230,58.594,95.215,90.820,67.871
1678793441.512,23.926,41.992,81.543,111.328,11.230
1678793441.516,9.766,41.992,74.219,6.836,47.363
1678793441.520,2.441,53.711,91.309,-76.172,90.820
1678793441.524,-11.230,59.570,103.027,-41.504,65.918
1678793441.527,-20.996,48.340,94.727,71.777,12.695
1678793441.531,10.254,34.180,80.078,121.094,-5.859
1678793441.535,34.668,35.645,86.914,32.715,-12.695
